Number,Type,Polymer,Dispersion,Polar,Hydrogen Bonding,Interaction Radius
223,Based on Solvent Range Solubility Data - Not too Reliable,"PVOH (NOT GOOD, SEE CHAP.",17,9,18,4
224,Based on Solvent Range Solubility Data - Not too Reliable,NYLON 66,16,11,24,3
225,Acrylics - Solvent Range,ACRYLOID B-44,19.4,11.2,4.4,10.5
226,Acrylics - Solvent Range,ACRYLOID B-66,18,9,3,9
227,Acrylics - Solvent Range,ACRYLOID B-72,19.2,11.2,1.8,11
228,Acrylics - Solvent Range,ACRYLOID B-82,19.1,9.1,3.3,9
229,Acrylics - Solvent Range,R+H PBA,16,8,8,12
230,Acrylics - Solvent Range,R+H PiMBA,20.7,4.1,10.7,11.5
231,Acrylics - Solvent Range,R+H PNBMA,16,6.2,6.6,9.5
232,Acrylics - Solvent Range,R+H PEMA,19,9,8,11
233,Acrylics - Solvent Range,R+H PMAA,25.6,11.2,19.6,20.3
234,Acrylics - Solvent Range,R+H PMMA,19.1,11.3,4.1,10.3
235,Acrylics - Solvent Range,BMA/AN 80/20,17.5,9.9,4.1,9.5
236,Acrylics - Solvent Range,ISOB MALANH/CYCLOL 75/25,16.8,-0.4,7.2,8.5
237,Acrylics - Solvent Range,MAA/EA/ST 15/38/47,17.6,5.2,7,4.5
238,Acrylics - Solvent Range,MAA/MA/VA 15/27.5/57.5,28.5,15.7,18.1,21.5
239,Acrylics - Solvent Range,MAA/MA/VA 15/17.5/67.5,25.5,15.7,18.1,21.5
240,Acrylics - Solvent Range,MMA/CYCLOL 58/42,18.7,9.9,8.7,8.8
241,Acrylics - Solvent Range,MMA/EA 50/50,17.5,9.9,4.1,9.5
242,Acrylics - Solvent Range,MMA/EA 25/75,19,9,15,12
243,Acrylics - Solvent Range,MMA/EA/AGE 40/40/20,17.6,9.8,5.6,9.7
244,Acrylics - Solvent Range,MMA/EA/AA,15.9,15.9,11.5,11.1
245,Acrylics - Solvent Range,MMA/EA/AN 55/30/15?,16.7,10.9,8.5,8.5
246,Acrylics - Solvent Range,MMA/EA/AN 40/40/20,20.4,13.2,11,12.3
247,Acrylics - Solvent Range,MMA/EA/BAMA 40/40/20,17.9,8.5,11.7,12.9
248,Acrylics - Solvent Range,MMA/EA/CYCLOL,17.6,9.8,6.4,9.8
249,Acrylics - Solvent Range,MMA/EA/MAM 40/40/20,19,9,15,12
250,Acrylics - Solvent Range,MMA/EA/MAM 45/45/10?,19.5,11.1,8.7,11.2
251,Acrylics - Solvent Range,MMA/EA/BVBE 40/40/20,17.8,10,6.6,9.8
252,Polyesters - Solvent Range,ACID DEGMP,15.3,13.3,14.9,15.6
253,Polyesters - Solvent Range,CARB DEG PTH,19.4,13.4,11.6,11.1
254,Polyesters - Solvent Range,CRYPLEX 1473-5,19.2,9.4,5.6,8.9
255,Polyesters - Solvent Range,DEG ISOPH,19.2,17.2,14.6,11.8
256,Polyesters - Solvent Range,DEG PHTH,21,15.2,13.2,13.7
257,Polyesters - Solvent Range,DPG PHTH,20.1,11.5,6.7,11.6
258,Polyesters - Solvent Range,DOWADIP TEREP,17.8,10.4,6.8,9.3
259,Polyesters - Solvent Range,DOW X-2635 MALEATE,17.8,5.6,6.8,4.5
260,Polyesters - Solvent Range,VITEL PE LINEAR,14.9,10.1,2.9,6.1
261,Polyesters - Solvent Range,VITEL PE101-X,21.3,6.3,4.7,7.3
262,Polyesters - Solvent Range,HYD BIS A FUM ISPH,17,4.4,6.2,5
263,Polyesters - Solvent Range,HYD BIS A PG FUM ISPH,18.7,8.9,5.5,8.4
264,Polyesters - Solvent Range,PENTA BENZ MAL,19.4,12.2,10.2,10.8
265,Polyesters - Solvent Range,SOL MYLAR 49001,19,5,4,5
266,Polyesters - Solvent Range,SOL MYLAR 49002,19,5,5,5
267,Polyesters - Solvent Range,TEG EG MAL TEREP,18.8,11.4,9.2,10.2
268,Polyesters - Solvent Range,TEG MALEATE,18.1,13.9,12.1,9.7
269,Polyesters - Solvent Range,VAREZ 123,17.3,10.9,11.9,10.7
270,Styrene Polymers And Copolymers - Solvent Range,AMOCO 18-290,19.3,3.7,7.9,7.8
271,Styrene Polymers And Copolymers - Solvent Range,BUTON 100 BUTAD-STY,17,4,3,7.3
272,Styrene Polymers And Copolymers - Solvent Range,BUTON 300,17.3,3.7,7.3,7
273,Styrene Polymers And Copolymers - Solvent Range,KOPPERS KTPL-A,19.3,3.7,7.9,7.8
274,Styrene Polymers And Copolymers - Solvent Range,RUBBER MOD PS,20,5,1,7
275,Styrene Polymers And Copolymers - Solvent Range,STY MAL ANH,23.4,13.8,15.2,16.5
276,Styrene Polymers And Copolymers - Solvent Range,LYTRON 820,21.1,13.1,14.5,14.4
277,Styrene Polymers And Copolymers - Solvent Range,MARBON 9200,19,4,4,6
278,Styrene Polymers And Copolymers - Solvent Range,PARAPOL S-50,17.9,3.9,4.9,3.9
279,Styrene Polymers And Copolymers - Solvent Range,PARAPOL S-60,17.9,3.9,4.9,3.9
280,Styrene Polymers And Copolymers - Solvent Range,PICCOFLEX 120,17.4,7.8,3.8,7.7
281,Styrene Polymers And Copolymers - Solvent Range,SHELL POLYALDEHYDE EX 39,19.6,10,3.6,9.4
282,Styrene Polymers And Copolymers - Solvent Range,SHELL POLYALDEHYDE EX 40,19.6,10,3.6,9.4
283,Styrene Polymers And Copolymers - Solvent Range,SHELL X-450,19.3,9.5,11.1,11.1
284,Styrene Polymers And Copolymers - Solvent Range,SMA 1430A,18.8,11.4,16.4,14.1
285,Styrene Polymers And Copolymers - Solvent Range,SAN 85/15,19.1,9.5,3.1,8.7
286,Styrene Polymers And Copolymers - Solvent Range,STY/BUTENOL 85/15,17.4,7.8,3.8,7.7
287,Styrene Polymers And Copolymers - Solvent Range,STY/CYCLOL 82/18,18.2,5.6,7.2,5.7
288,Styrene Polymers And Copolymers - Solvent Range,STY/2EHA/AA 81/11/8,17.7,4.9,5.9,5.9
289,Styrene Polymers And Copolymers - Solvent Range,STY/MAA 90/10,18.7,6.3,7.3,6.7
290,Styrene Polymers And Copolymers - Solvent Range,STY/MA 85/15,18,9,3,9
291,Styrene Polymers And Copolymers - Solvent Range,STY/HALF ESTER MA 60/40,18.9,10.9,10.7,9.7
292,Styrene Polymers And Copolymers - Solvent Range,STY/PROP HALF E MA 57/43,18,9.8,8.4,10.1
293,Styrene Polymers And Copolymers - Solvent Range,STY/VBE 85/15,17.4,7.8,3.8,7.7
