Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
1-sec-Butylnaphthalene,C1(=CC=CC2=C1C=CC=C2)C(C)CC,1680-58-6,7.118,0.9793,0.5220153254455275,low-fidelity RED
1-Undecylnaphthalene,C1(=CC=CC2=C1C=CC=C2)CCCCCCCCCCC,7225-71-0,6.78,1.098,0.6344288770224751,low-fidelity RED
Tetraphenylmethane,C1(C(C3=CC=CC=C3)(C4=CC=CC=C4)C2=CC=CC=C2)=CC=CC=C1,630-76-2,5.569,0.8397,0.3250000000000007,low-fidelity RED
"1,2,4-Trimethyl-3-Ethylbenzene",c1(C)c(C)c(CC)c(C)cc1,61827-87-0,6.599,1.107,0.5640257086339239,low-fidelity RED
Diphenyl Acetylene (P By Group Cont.),C1(C#CC2=CC=CC=C2)=CC=CC=C1,501-65-5,5.875,0.916,0.6164414002968974,high-fidelity RED
"9,10-Dihydroanthracene",C1(C=CC=C2)=C2CC(C=CC=C3)=C3C1,613-31-0,6.564,0.9157,0.9433981132056612,low-fidelity RED
Indane,C1(C=CC=C2)=C2CCC1,496-11-7,5.895,0.8564,0.8385254915624214,low-fidelity RED
p-Terphenyl,C1(C2=CC=C(C3=CC=CC=C3)C=C2)=CC=CC=C1,92-94-4,5.797,0.7207,0.8418729120241373,low-fidelity RED
m-Terphenyl,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC=C1,92-06-8,5.885,0.7409,0.623498195666997,low-fidelity RED
Biphenyl,C1(C2=CC=CC=C2)=CC=CC=C1,92-52-4,5.801,0.6692,0.6964194138592064,high-fidelity RED
Cyclohexyl Benzene,C1(C2=CC=CC=C2)CCCCC1,827-52-1,6.295,0.7814,0.2915475947422652,high-fidelity RED
o-Terphenyl,C1(C3=CC=CC=C3)=CC=CC=C1C2=CC=CC=C2,84-15-1,6.076,0.7374,0.7115124735378854,low-fidelity RED
"2,2,5,7-Tetramethyltetraline",c1(cc(c2c(c1)CC(CC2)(C)C)C)C,23342-25-8,6.292,1.284,0.48347699014534223,low-fidelity RED
1-Ethyl-2-Isopropylbenzene,c1(CC)c(C(C)C)cccc1,26573-16-0,6.879,1.109,0.7802243267163606,low-fidelity RED
"2,6-Diethylnaphthalene",c1(CC)ccc(cc(CC)cc2)c2c1,59919-41-4,6.946,1.075,0.42793106921559215,low-fidelity RED
Dicyclopentadiene,C1(CC=C3)C3C2CC1C=C2,77-73-6,5.547,1.041,0.8845903006477064,low-fidelity RED
Norbornane,C1(CC2)CC2CC1,279-23-2,5.246,0.7211,0.7656696415556775,low-fidelity RED
Diphenylmethane,C1(CC2=CC=CC=C2)=CC=CC=C1,101-81-5,6.216,0.9065,0.6538348415311016,high-fidelity RED
"1,2,3-Trimethyl-4-Ethylbenzene",c1(ccc(c(c1C)C)C)CC,41903-41-7,6.47,1.14,0.5640257086339239,low-fidelity RED
"1,2,4-Trimethyl-3-Ethylbenzene",c1(ccc(c(c1CC)C)C)C,d2308,6.599,1.107,0.5640257086339239,low-fidelity RED
1-(4-Ethylphenyl)-2-(4-Ethylphenyl)Ethane,c1(ccc(cc1)CC)CCc2ccc(cc2)CC,51526-06-8,6.324,0.9617,0.6950719387228922,low-fidelity RED
"1,2-Dihydronaphthalene",C1(CCC=C2)=C2C=CC=C1,447-53-0,6.094,1.042,0.8849435010213932,low-fidelity RED
"1,2-Diphenylethane",C1(CCC2=CC=CC=C2)=CC=CC=C1,103-29-7,6.244,0.7806,0.5728219618694801,low-fidelity RED
2-Hexyl Tetralin,c1(ccc2c(c1)CCCC2)CCCCCC,NotAvailble,6.635,1.043,0.6538348415311006,low-fidelity RED
"1,2-Dimethyl-3-Propylbenzene",c1(cccc(c1C)CCC)C,17059-44-8,5.924,1.057,0.7454025757937782,low-fidelity RED
"1,2,3-Triethylbenzene",c1(cccc(c1CC)CC)CC,42205-08-3,6.973,1.004,0.8370334521391601,low-fidelity RED
"1-Ethyl-[1,2,3,4-Tetrahydronaphthalene]",C1(CCCC2=C1C=CC=C2)CC,13556-58-6,6.921,0.9672,0.6108395861435305,low-fidelity RED
"1,3-Diphenylpropane",C1(CCCC2=CC=CC=C2)=CC=CC=C1,1081-75-0,6.517,0.8141,0.5244044240850757,low-fidelity RED
1-n-Pentylnaphthalene,c1(CCCCC)cccc(cccc2)c12,86-89-5,6.835,1.09,0.6123724356957948,low-fidelity RED
1-(4-Ethylphenyl)-2-Phenylethane,c1(ccccc1)CCc2ccc(cc2)CC,7439-15-8,6.243,0.9791,0.6289872812704561,low-fidelity RED
Dibenzylamine,C1(CNCC2=CC=CC=C2)=CC=CC=C1,103-49-1,6.274,0.9319,0.9320675941153626,low-fidelity RED
Benzyl Sulfide,C1(CSCC2=CC=CC=C2)=CC=CC=C1,538-74-9,6.175,0.8353,0.9542667341996158,low-fidelity RED
